customer_id,first_name,last_name,customer_email,customer_phone,customer_address,state,city,pincode
74e8c1e4-36fa-42b3-8b63-2e5acb74544a,Jose,Olson,kellerphyllis@example.org,833.996.1940,"38882 Ashley Ridge Apt. 988
East Timothy, MD 18980",Pennsylvania,West Gailmouth,06627
c4e80c64-d213-4e43-a97d-527db99018b5,Molly,Davis,sandranunez@example.org,783.525.6434x84232,"306 Pamela Parks
West Danielton, GA 46394",Utah,New Rhondaburgh,27360
baf9a693-8caf-40fb-8148-e1f1c85fc8c0,Timothy,Knapp,jared14@example.com,+1-355-341-9456,"312 Austin Alley Suite 123
Rhondabury, MD 17616",Delaware,Mcneilshire,74781
f81648b2-e7cd-4786-90f2-2b707ae27aec,Clinton,Mooney,rachel01@example.com,683-566-7442x37580,"968 Bradley Squares
Webbland, ND 83915",Nebraska,South Ashleyshire,09512
69ff1eb3-588a-4a18-b754-6d25a4755751,David,Hutchinson,maykaren@example.com,417-655-8558,"38642 Tamara Views Apt. 003
Johnsonmouth, CA 89817",Mississippi,East Sarahbury,39544
75eea2d9-2e92-4d5b-9b90-fd0798700a9d,Jessica,Mendez,zwade@example.net,+1-366-291-3885,"9602 Moore Green Suite 039
Hoffmanbury, MA 38508",Arizona,Kellifurt,71588
df90d1d2-47b6-4c10-8b7c-ba7b2596cf92,Cynthia,Wilson,ovega@example.org,6862317850,"186 Hawkins Lake
West Jamesside, AL 10251",Wyoming,Lake Nicholasville,25713
4f9872f7-3770-43f6-99f7-ec4fa81484c1,James,Gonzalez,traviscruz@example.com,340.408.1434x9490,"385 Michelle Mews
New Roger, VT 89658",West Virginia,Rowebury,66632
91eb842f-6b26-48f5-be48-fd2ad2b93d71,Denise,Vincent,johnsonbarry@example.net,+1-667-340-9784x246,"498 Anthony Corner
Harrischester, AL 33483",Indiana,New Albertborough,95249
12c7d401-e753-4619-bb82-1c81337803ee,Nathan,Bailey,mark98@example.net,629.804.3050x08242,"663 Monica Camp
East Amy, VI 84441",Pennsylvania,East Jeffreyshire,96975
b3a22b0e-c7e8-4167-a9a4-2af2bb83db70,Margaret,Williams,rogersangela@example.org,602-286-4947x5327,"3451 Derek Pass
Port Williamhaven, MI 46378",New Mexico,Cooperbury,86569
043eb614-6f76-4e88-90fa-432ed0db09df,Rachel,Leon,taylor40@example.com,001-884-577-2404x56885,"PSC 7243, Box 7948
APO AA 32880",Massachusetts,New Travisborough,67925
bba79397-c5af-4334-abba-cf5fa1e6bc9b,Faith,Davis,jeffreykim@example.net,365.797.6993x182,"3566 Jeffrey Courts
Christineville, DE 09005",North Carolina,Tranbury,22759
99430c2d-5c05-45f7-a0dd-274edec6cfe4,Crystal,Winters,martindavid@example.com,+1-593-304-6411,"8716 Gloria Locks Apt. 657
South Diane, TX 29489",New Hampshire,West Shannonfort,47763
c9e0cc68-2c11-4151-ac9f-a7e9ad82e0ec,John,Davis,asmith@example.org,(259)460-2945,"PSC 2539, Box 3475
APO AP 95863",Nevada,Port Steve,07030
d92f2217-bfb4-4f61-9c8b-daf2e2970e08,Diane,Jackson,saracarson@example.com,001-226-420-3945x31026,"63194 Crawford Canyon Apt. 655
Ashleyhaven, UT 90875",Idaho,North Amber,10071
44f30d78-c9e3-45c0-b4c9-4c2d97b718aa,Brittany,Harris,mmcdaniel@example.com,+1-708-673-6800x9371,"69792 Lopez Forks
Jonesview, WV 27580",Pennsylvania,Hortonbury,84770
5e67b7a9-2e9f-4f3e-adfa-746614384d73,Bradley,Johnson,robertalopez@example.com,927-473-0891,"Unit 0027 Box 2098
DPO AE 34662",Kentucky,New Gregoryton,91307
7b86377d-ffa8-4e24-8916-8dc6a2135853,Ashley,Green,gibsonbrandon@example.com,(657)442-8157x97436,"47321 Mitchell Causeway
Stevenburgh, NC 70959",Alaska,Lake Ryanmouth,38501
a49c2eac-400d-40d5-b18f-6f4232a03ce4,Erica,Richardson,jason75@example.org,(961)348-1363x9315,"45080 Roy Vista Suite 291
Penastad, LA 91144",Louisiana,Rosalesview,79947
6848a07b-faac-4950-97ca-e23ebabfc72c,Andrew,Murillo,rogersanna@example.org,729.737.8314,"29012 Mclaughlin Throughway
Danafort, FL 71509",South Dakota,East Scott,48024
dd909cb9-fb89-419e-a029-6efa35c65eb3,Timothy,Gilbert,mckinneyjennifer@example.org,3839336887,"745 Bailey Knolls
Lake Roberttown, ND 26175",Louisiana,Lake Peterburgh,20411
7f5ea061-314c-4b2e-af43-0d5a24063ef0,Kelly,Russell,chendavid@example.org,(370)346-6991x90158,"9393 Rodriguez Pike
Port Kristine, VA 90681",New Hampshire,New Amber,92673
1e769925-71a7-43eb-b709-e3a5c0992a07,Christopher,Perry,raymaureen@example.com,811-261-0048x30535,"1426 Ali Cliffs
Joelside, IA 20123",Ohio,Jennifermouth,29526
dab20a74-ff7f-4f2a-ae45-307ac1e55013,Christopher,Dawson,murphysherri@example.net,+1-724-696-0056x942,"2078 Wayne Shore Apt. 414
Karenhaven, CA 78203",New Mexico,Smithland,73122
896d2f28-59e5-4286-b1e1-0c5d391832a9,Lisa,Ryan,scott35@example.net,721-995-1807x572,"55558 Kelley Dam Suite 328
South Coryhaven, MH 11063",Indiana,West Sean,70622
814f23cc-53cd-41b8-ba37-4ae43f06d0d8,Maureen,Cruz,fadams@example.net,7035894804,"4035 Gregory Stravenue Apt. 786
Angelshire, VI 75660",Louisiana,West Jamesbury,70774
d2b95f72-ba97-4f47-bc35-b0b5e36f2cd2,Geoffrey,Parker,housejudy@example.org,+1-248-927-1891x78167,"912 Griffin Meadows Suite 966
Port Jennifer, NE 12532",Colorado,North Robertburgh,74867
179c773e-45b2-4ce5-b050-46874792bc9d,Samantha,Tucker,tracymartinez@example.net,001-485-412-6870x4933,"7117 Jennifer Causeway Suite 851
West Juantown, AS 14998",Idaho,Lake Sean,85531
1fc3b757-bbff-4524-8257-3cd7b18c650e,Kevin,Thomas,fspencer@example.com,001-219-731-5072,"285 Warner Mission
New Shelby, KS 55981",Oklahoma,New Jennifershire,38311
2eededaf-3542-47c1-8113-3e04fecad2b4,Julie,Powell,rcampbell@example.net,(813)415-8152,"49095 Vanessa Road
North Nathaniel, MD 92394",Minnesota,Danielstown,77059
36ac6ed4-f252-4b2a-b5ec-e3ce92e8d329,Kenneth,Garcia,francisjames@example.com,638-545-0198x36182,"44515 James Row
Danielport, MO 01864",Massachusetts,South Kimberlyton,85707
e28c7c00-b8e9-4704-8196-7636fc4fb486,Patricia,Garza,mathewhumphrey@example.org,(371)571-9351x585,"USCGC Williams
FPO AA 95563",Florida,New Kristi,56470
2c2461ff-b3a8-4837-b7e0-4b225017f93a,Jennifer,Andrews,andrewnorton@example.net,(720)654-4017x0111,"392 Parks Ramp
Christianview, VA 34718",Wyoming,Port John,92299
761dcd71-f0f2-423d-bafe-4d7ef618b5d4,Kevin,Mcdowell,dylan61@example.com,343.934.0289,"153 Melton Radial Suite 697
West Jamesfurt, WY 98050",Kansas,Simmonsborough,26340
fda98a84-43c2-4b85-983c-19df1456cef9,Meghan,Suarez,bishopmelissa@example.net,373.952.1157,"PSC 9176, Box 9563
APO AA 48250",West Virginia,Lorihaven,82344
9b9cbb21-590f-4f90-aae3-0a0f74ffa5d0,Destiny,Ruiz,sabrina59@example.net,453.806.0267,"116 Michael Mews
Lake Jacobfurt, HI 12364",Delaware,East Victoriafurt,44648
f5b9844a-9a09-484e-b6e0-17ec08b96415,Edwin,Foster,tara70@example.com,466.846.6880x86269,"149 Harris Place Apt. 264
Chelseaborough, NV 24628",Massachusetts,Glennview,05710
abce15b0-2f27-4443-8b89-a7e6fb565e3c,Pamela,Miller,linda85@example.org,797-645-6858,"7649 Larry Course Apt. 272
West Hannah, UT 75380",Maryland,Lake Mariatown,54375
178743bf-7389-4f2f-8d8f-179588f16c86,Megan,Gonzalez,xcraig@example.org,937-697-1854,"73833 Johnson Mills Suite 631
Port Williamshire, DE 36199",Hawaii,Wendyberg,28838
0277d8df-51f0-468d-82d4-84742cc5aaaf,Amber,Ellis,wfrench@example.com,(766)252-6188,"738 Lopez Trafficway
Lake John, MA 30064",Arkansas,Simmonsside,08470
6c6c6252-9160-4bd8-91de-947d5de7a4f4,Jennifer,Duarte,tlloyd@example.org,+1-267-454-4635x0350,"260 Pamela Motorway Apt. 304
Bobbury, FL 15927",Arkansas,Lake Phyllis,90894
b964cebb-278e-4822-b627-db9eddc1df9c,Justin,Francis,stephanie03@example.org,001-743-517-7380x449,"18403 Dawn Plaza Suite 346
Port Glennside, VT 08584",New York,Olsonberg,47840
0e385b98-592d-4c18-b732-28bf60364728,Ana,Nunez,obell@example.net,5945003512,"594 Veronica Canyon
Lake Courtney, AK 50467",Rhode Island,Maciasport,22711
cb28f005-4b9a-4bf6-adb9-d59a82cdddbd,Christopher,Smith,roacheric@example.com,+1-494-858-8758x16039,"4823 Jason Key Suite 429
New Moniqueport, ID 08486",Michigan,Orrbury,29645
f02129b7-1475-4c66-b9a4-18ec6ad5a73d,Michael,Torres,diane62@example.org,(870)228-6072x3823,"884 Jennifer Square Apt. 289
North Aaron, RI 58370",Michigan,Larsonfurt,63163
628ac97a-e08e-4aed-8e0d-491d17f71ca7,Scott,Bowman,robin38@example.org,956-493-4488,"88551 Sabrina Court Suite 690
Gonzalezbury, FL 32493",North Dakota,Davischester,20537
26078423-3728-4156-8d7f-e31fe2f7b7e5,Andrea,Vang,nicolesmith@example.com,670.745.9353,"1973 Amanda Stravenue Apt. 275
Sherrytown, AZ 30363",West Virginia,East Jeffreyland,76620
6e2e1794-3e24-4b2d-b5cc-ba06ff13212e,Jared,Murphy,wilsonjoshua@example.com,001-590-669-1424,"78810 Reilly Orchard Suite 922
New Colleen, KS 14113",Vermont,Feliciamouth,50459
06dc73b1-55d0-4199-a4bb-2b1d78a71657,Caroline,Fowler,pottschristy@example.net,001-292-746-5090x0905,"76809 Hannah Greens
Matthewtown, AR 72059",Delaware,Cookfort,36977
5c7ecdfb-e829-4cb8-8a8b-8a673a523750,Sabrina,Reyes,triciahowell@example.org,(227)844-4913,"9129 Garner Manor
North Michelle, OK 04400",New Hampshire,Johnnyborough,83496
